UPI_Remitter_Banks,Date,Approved_percent,Bank_Decline_percent,Technical_Decline_percent,Debit_Reversal_Success_percent,Total_Debit_Reversal_Count_In_Million,Total_Volume_In_Million
ESAF Small Finance Bank Ltd,2022-05-01 00:00:00,0.8198,0.1702,0.01,0.8207,0.03,9.11
Andhra Pradesh Grameena Vikas Bank,2023-05-01 00:00:00,0.8199,0.1219,0.0582,0.6339,0.13,19.66
Jio Payments Bank,2024-08-01 00:00:00,0.8202,0.1504,0.0294,0.8982,0.23,20.1
Pragathi Krishna Gramin Bank,2022-05-01 00:00:00,0.8203,0.116,0.0637,0.452,0.26,14.32
Karnataka Vikas Grameena Bank,2022-02-01 00:00:00,0.8204,0.1375,0.0421,0.1328,0.11,5.15
Maharashtra Gramin Bank,2023-02-01 00:00:00,0.8205,0.1561,0.0234,0.4833,0.12,14.93
Fino Payments Bank,2022-07-01 00:00:00,0.8206,0.1463,0.0331,0.6182,0.57,40.16
Maharashtra Gramin Bank,2022-01-01 00:00:00,0.8213,0.1525,0.0262,0.1573,0.19,10.52
Jammu and Kashmir Bank,2022-06-01 00:00:00,0.8217,0.1043,0.074,0.5229,0.24,14.49
Punjab and Sind Bank,2023-01-01 00:00:00,0.8229,0.1678,0.0094,0.6958,0.15,20.36
India Post Payment Bank,2023-12-01 00:00:00,0.8243,0.1185,0.0572,0.323,2.43,247.32
Baroda U.P. Bank,2022-12-01 00:00:00,0.8244,0.1317,0.044,0.5653,0.09,8.57
Fino Payments Bank,2022-04-01 00:00:00,0.8251,0.1286,0.0463,0.7901,0.38,31.73
Rajasthan Marudhara Gramin Bank,2023-06-01 00:00:00,0.8255,0.1285,0.046,0.2295,0.18,14.55
Central Bank of India,2024-02-01 00:00:00,0.8262,0.0959,0.078,0.5809,4.98,179.35
Baroda Rajasthan Kshetriya Gramin Bank,2023-02-01 00:00:00,0.8262,0.1138,0.06,0.4577,0.07,7.42
India Post Payment Bank,2024-01-01 00:00:00,0.8266,0.122,0.0514,0.5481,1.67,265.13
ESAF Small Finance Bank Ltd,2023-01-01 00:00:00,0.8267,0.162,0.0112,0.8462,0.05,13.53
Fino Payments Bank,2022-10-01 00:00:00,0.8271,0.1511,0.0218,0.7371,0.74,54.25
Fino Payments Bank,2022-12-01 00:00:00,0.8272,0.1602,0.0125,0.6743,0.39,58.33
Andhra Pradesh Grameena Vikas Bank,2024-11-01 00:00:00,0.8274,0.1159,0.0567,0.6541,0.36,31.66
Andhra Pradesh Grameena Vikas Bank,2023-03-01 00:00:00,0.8274,0.1163,0.0564,0.5112,0.12,18.43
RBL,2024-01-01 00:00:00,0.8278,0.0554,0.1168,0.6948,0.16,15.89
Andhra Pradesh Grameena Vikas Bank,2022-12-01 00:00:00,0.828,0.1336,0.0384,0.9376,0.1,17.34
India Post Payment Bank,2023-09-01 00:00:00,0.8283,0.1435,0.0282,0.72,0.92,203.54
Fino Payments Bank,2023-05-01 00:00:00,0.8285,0.1495,0.0221,0.8281,0.25,81.88
India Post Payment Bank,2024-04-01 00:00:00,0.8288,0.1595,0.0116,0.5496,1.9,270.23
Punjab and Sind Bank,2024-04-01 00:00:00,0.8294,0.0805,0.0901,0.2391,1.29,34.51
Equitas Bank,2022-07-01 00:00:00,0.8294,0.155,0.0156,0.8558,0.14,20.88
Baroda U.P. Bank,2022-11-01 00:00:00,0.8296,0.125,0.0453,0.3554,0.13,7.82
Punjab and Sind Bank,2022-02-01 00:00:00,0.8304,0.1294,0.0402,0.5051,0.14,9.72
NSDL Payments Bank,2024-09-01 00:00:00,0.8305,0.1147,0.0549,0.0908,0.38,20.08
Rajasthan Marudhara Gramin Bank,2023-07-01 00:00:00,0.8307,0.1232,0.0461,0,0,16.19
Bandhan Bank,2023-04-01 00:00:00,0.8317,0.1183,0.05,0.1793,0.19,40.2
India Post Payment Bank,2024-02-01 00:00:00,0.832,0.13,0.0381,0.5238,2.05,271.05
Sarva Haryana Gramin Bank,2023-02-01 00:00:00,0.8321,0.0766,0.0913,0.1754,0.25,10.03
India Post Payment Bank,2022-03-01 00:00:00,0.8322,0.1636,0.0042,0.8254,0.37,59.04
YES Bank,2024-11-01 00:00:00,0.8324,0.1636,0.004,0.5831,0.52,155.3
Baroda Rajasthan Kshetriya Gramin Bank,2022-11-01 00:00:00,0.833,0.1093,0.0577,0.438,0.07,7.4
