Sr_No,UPI_Beneficiary_Banks,Date,Approved_percent,Deemed_Approved_percent,Bank_Decline_percent,Technical_Decline_percent,Total_Volume_In_Mn
36,Andhra Pradesh Grameena Vikas Bank,2022-05-01 00:00:00,0.9336,0.0101,0.0017,0.0546,7.55
21,IDFC First Bank,2023-02-01 00:00:00,0.9343,0.007,0.018,0.0407,45.95
36,Punjab and Sind Bank,2023-05-01 00:00:00,0.9348,0.0086,0.0019,0.0547,10.91
24,Karnataka Bank,2022-11-01 00:00:00,0.9352,0.0094,0.0064,0.0491,29.87
50,Karnataka Vikas Grameena Bank,2022-09-01 00:00:00,0.9353,0.0126,0.0068,0.0453,3.83
28,Fino Payments Bank,2022-08-01 00:00:00,0.9355,0.0089,0.0252,0.0393,17.03
46,Baroda U.P. Bank,2022-11-01 00:00:00,0.9356,0.0064,0.0243,0.0337,5.41
43,Tri O Tech Solutions Private Limited,2023-07-01 00:00:00,0.9356,0.0004,0.0612,0.0032,8.46
50,Karnataka Vikas Grameena Bank,2023-02-01 00:00:00,0.936,0.0046,0.0024,0.057,3.73
42,Maharashtra Gramin Bank,2023-07-01 00:00:00,0.9362,0.0049,0.0046,0.0592,8.96
42,Rajasthan Marudhara Gramin Bank,2022-09-01 00:00:00,0.9365,0.0193,0.0043,0.0592,6.04
26,Fino Payments Bank,2023-01-01 00:00:00,0.937,0.0092,0.0196,0.0342,23.15
28,Fino Payments Bank,2022-03-01 00:00:00,0.9374,0.0015,0.0228,0.0384,12.2
46,Andhra Pragathi Grameena Bank,2022-12-01 00:00:00,0.9376,0.0028,0.0099,0.0497,5.94
47,Andhra Pragathi Grameena Bank,2022-09-01 00:00:00,0.9377,0.024,0.002,0.0603,5.25
29,Bandhan Bank,2023-04-01 00:00:00,0.9377,0.0014,0.0033,0.0576,23.65
21,IDBI Bank,2024-02-01 00:00:00,0.9378,0.0093,0.0054,0.0567,60.85
40,Andhra Pradesh Grameena Vikas Bank,2023-06-01 00:00:00,0.9382,0.0049,0.0029,0.054,9.79
47,Baroda U.P. Bank,2022-12-01 00:00:00,0.9384,0.0035,0.0239,0.0342,5.87
43,Tri O Tech Solutions Private Limited,2023-08-01 00:00:00,0.9395,0.0006,0.0582,0.0023,9.92
28,Fino Payments Bank,2022-06-01 00:00:00,0.9398,0.0028,0.0235,0.0339,13.59
42,Maharashtra Gramin Bank,2023-06-01 00:00:00,0.9404,0.0044,0.0038,0.0515,8.58
50,Baroda Rajasthan Kshetriya Gramin Bank,2023-11-01 00:00:00,0.9407,0.0132,0.0131,0.0462,5.2
24,RBL,2024-03-01 00:00:00,0.9408,0.0093,0.0296,0.0296,49.38
43,Tri O Tech Solutions Private Limited,2023-10-01 00:00:00,0.9413,0.0003,0.0579,0.0008,13.24
34,Equitas Bank,2022-03-01 00:00:00,0.942,0.0054,0.0171,0.0355,8.53
38,Maharashtra Gramin Bank,2022-05-01 00:00:00,0.9421,0.0018,0.0087,0.0474,6.84
38,Tri O Tech Solutions Private Limited,2023-09-01 00:00:00,0.9421,0.0011,0.055,0.0029,11.15
